DATE,CCSA,ym,d,check
1/1/2000,2102000,2000-01,1,FALSE
1/8/2000,2107000,2000-01,8,FALSE
1/15/2000,2115000,2000-01,15,FALSE
1/22/2000,2061000,2000-01,22,FALSE
1/29/2000,2164000,2000-01,29,TRUE
2/5/2000,2160000,2000-02,5,FALSE
2/12/2000,2141000,2000-02,12,FALSE
2/19/2000,2132000,2000-02,19,FALSE
2/26/2000,2157000,2000-02,26,TRUE
3/4/2000,2098000,2000-03,4,FALSE
3/11/2000,2099000,2000-03,11,FALSE
3/18/2000,2051000,2000-03,18,FALSE
3/25/2000,2068000,2000-03,25,TRUE
4/1/2000,2026000,2000-04,1,FALSE
4/8/2000,2027000,2000-04,8,FALSE
4/15/2000,1962000,2000-04,15,FALSE
4/22/2000,2035000,2000-04,22,FALSE
4/29/2000,2027000,2000-04,29,TRUE
5/6/2000,1991000,2000-05,6,FALSE
5/13/2000,1982000,2000-05,13,FALSE
5/20/2000,1998000,2000-05,20,FALSE
5/27/2000,1987000,2000-05,27,TRUE
6/3/2000,2019000,2000-06,3,FALSE
6/10/2000,2020000,2000-06,10,FALSE
6/17/2000,2041000,2000-06,17,FALSE
6/24/2000,2033000,2000-06,24,TRUE
7/1/2000,2052000,2000-07,1,FALSE
7/8/2000,2099000,2000-07,8,FALSE
7/15/2000,2122000,2000-07,15,FALSE
7/22/2000,2070000,2000-07,22,FALSE
7/29/2000,2085000,2000-07,29,TRUE
8/5/2000,2096000,2000-08,5,FALSE
8/12/2000,2109000,2000-08,12,FALSE
8/19/2000,2145000,2000-08,19,FALSE
8/26/2000,2119000,2000-08,26,TRUE
9/2/2000,2169000,2000-09,2,FALSE
9/9/2000,2139000,2000-09,9,FALSE
9/16/2000,2115000,2000-09,16,FALSE
9/23/2000,2098000,2000-09,23,FALSE
9/30/2000,2077000,2000-09,30,TRUE
10/7/2000,2133000,2000-10,7,FALSE
10/14/2000,2124000,2000-10,14,FALSE
10/21/2000,2082000,2000-10,21,FALSE
10/28/2000,2126000,2000-10,28,TRUE
11/4/2000,2110000,2000-11,4,FALSE
11/11/2000,2161000,2000-11,11,FALSE
11/18/2000,2279000,2000-11,18,FALSE
11/25/2000,2295000,2000-11,25,TRUE
12/2/2000,2229000,2000-12,2,FALSE
12/9/2000,2263000,2000-12,9,FALSE
12/16/2000,2322000,2000-12,16,FALSE
12/23/2000,2340000,2000-12,23,FALSE
12/30/2000,2378000,2000-12,30,TRUE
1/6/2001,2357000,2001-01,6,FALSE
1/13/2001,2367000,2001-01,13,FALSE
1/20/2001,2419000,2001-01,20,FALSE
1/27/2001,2440000,2001-01,27,TRUE
2/3/2001,2489000,2001-02,3,FALSE
2/10/2001,2435000,2001-02,10,FALSE
2/17/2001,2516000,2001-02,17,FALSE
2/24/2001,2506000,2001-02,24,TRUE
3/3/2001,2558000,2001-03,3,FALSE
3/10/2001,2557000,2001-03,10,FALSE
3/17/2001,2605000,2001-03,17,FALSE
3/24/2001,2587000,2001-03,24,FALSE
3/31/2001,2620000,2001-03,31,TRUE
4/7/2001,2582000,2001-04,7,FALSE
4/14/2001,2742000,2001-04,14,FALSE
4/21/2001,2737000,2001-04,21,FALSE
4/28/2001,2728000,2001-04,28,TRUE
5/5/2001,2732000,2001-05,5,FALSE
5/12/2001,2800000,2001-05,12,FALSE
5/19/2001,2819000,2001-05,19,FALSE
5/26/2001,2926000,2001-05,26,TRUE
6/2/2001,2919000,2001-06,2,FALSE
6/9/2001,2948000,2001-06,9,FALSE
6/16/2001,2939000,2001-06,16,FALSE
6/23/2001,2972000,2001-06,23,FALSE
6/30/2001,2959000,2001-06,30,TRUE
7/7/2001,3063000,2001-07,7,FALSE
7/14/2001,3029000,2001-07,14,FALSE
7/21/2001,2975000,2001-07,21,FALSE
7/28/2001,3056000,2001-07,28,TRUE
8/4/2001,3079000,2001-08,4,FALSE
8/11/2001,3125000,2001-08,11,FALSE
8/18/2001,3113000,2001-08,18,FALSE
8/25/2001,3163000,2001-08,25,TRUE
9/1/2001,3213000,2001-09,1,FALSE
9/8/2001,3197000,2001-09,8,FALSE
9/15/2001,3214000,2001-09,15,FALSE
9/22/2001,3302000,2001-09,22,FALSE
9/29/2001,3385000,2001-09,29,TRUE
10/6/2001,3432000,2001-10,6,FALSE
10/13/2001,3521000,2001-10,13,FALSE
10/20/2001,3557000,2001-10,20,FALSE
10/27/2001,3600000,2001-10,27,TRUE
11/3/2001,3616000,2001-11,3,FALSE
11/10/2001,3627000,2001-11,10,FALSE
11/17/2001,3790000,2001-11,17,FALSE
11/24/2001,3593000,2001-11,24,TRUE
12/1/2001,3619000,2001-12,1,FALSE
12/8/2001,3626000,2001-12,8,FALSE
12/15/2001,3637000,2001-12,15,FALSE
12/22/2001,3591000,2001-12,22,FALSE
12/29/2001,3474000,2001-12,29,TRUE
1/5/2002,3587000,2002-01,5,FALSE
1/12/2002,3500000,2002-01,12,FALSE
1/19/2002,3557000,2002-01,19,FALSE
1/26/2002,3558000,2002-01,26,TRUE
2/2/2002,3537000,2002-02,2,FALSE
2/9/2002,3562000,2002-02,9,FALSE
2/16/2002,3580000,2002-02,16,FALSE
2/23/2002,3538000,2002-02,23,TRUE
3/2/2002,3567000,2002-03,2,FALSE
3/9/2002,3567000,2002-03,9,FALSE
3/16/2002,3598000,2002-03,16,FALSE
3/23/2002,3599000,2002-03,23,FALSE
3/30/2002,3723000,2002-03,30,TRUE
4/6/2002,3732000,2002-04,6,FALSE
4/13/2002,3650000,2002-04,13,FALSE
4/20/2002,3675000,2002-04,20,FALSE
4/27/2002,3700000,2002-04,27,TRUE
5/4/2002,3712000,2002-05,4,FALSE
5/11/2002,3729000,2002-05,11,FALSE
5/18/2002,3695000,2002-05,18,FALSE
5/25/2002,3712000,2002-05,25,TRUE
6/1/2002,3664000,2002-06,1,FALSE
6/8/2002,3681000,2002-06,8,FALSE
6/15/2002,3604000,2002-06,15,FALSE
6/22/2002,3639000,2002-06,22,FALSE
6/29/2002,3588000,2002-06,29,TRUE
7/6/2002,3554000,2002-07,6,FALSE
7/13/2002,3495000,2002-07,13,FALSE
7/20/2002,3473000,2002-07,20,FALSE
7/27/2002,3495000,2002-07,27,TRUE
8/3/2002,3498000,2002-08,3,FALSE
8/10/2002,3485000,2002-08,10,FALSE
8/17/2002,3531000,2002-08,17,FALSE
8/24/2002,3521000,2002-08,24,FALSE
8/31/2002,3549000,2002-08,31,TRUE
9/7/2002,3532000,2002-09,7,FALSE
9/14/2002,3554000,2002-09,14,FALSE
9/21/2002,3579000,2002-09,21,FALSE
9/28/2002,3555000,2002-09,28,TRUE
10/5/2002,3619000,2002-10,5,FALSE
10/12/2002,3529000,2002-10,12,FALSE
10/19/2002,3518000,2002-10,19,FALSE
10/26/2002,3557000,2002-10,26,TRUE
11/2/2002,3557000,2002-11,2,FALSE
11/9/2002,3539000,2002-11,9,FALSE
11/16/2002,3438000,2002-11,16,FALSE
11/23/2002,3474000,2002-11,23,FALSE
11/30/2002,3404000,2002-11,30,TRUE
12/7/2002,3537000,2002-12,7,FALSE
12/14/2002,3497000,2002-12,14,FALSE
12/21/2002,3435000,2002-12,21,FALSE
12/28/2002,3462000,2002-12,28,TRUE
1/4/2003,3438000,2003-01,4,FALSE
1/11/2003,3388000,2003-01,11,FALSE
1/18/2003,3357000,2003-01,18,FALSE
1/25/2003,3475000,2003-01,25,TRUE
2/1/2003,3368000,2003-02,1,FALSE
2/8/2003,3457000,2003-02,8,FALSE
2/15/2003,3423000,2003-02,15,FALSE
2/22/2003,3500000,2003-02,22,TRUE
3/1/2003,3496000,2003-03,1,FALSE
3/8/2003,3559000,2003-03,8,FALSE
3/15/2003,3528000,2003-03,15,FALSE
3/22/2003,3585000,2003-03,22,FALSE
3/29/2003,3536000,2003-03,29,TRUE
4/5/2003,3583000,2003-04,5,FALSE
4/12/2003,3586000,2003-04,12,FALSE
4/19/2003,3674000,2003-04,19,FALSE
4/26/2003,3676000,2003-04,26,TRUE
5/3/2003,3730000,2003-05,3,FALSE
5/10/2003,3704000,2003-05,10,FALSE
5/17/2003,3716000,2003-05,17,FALSE
5/24/2003,3672000,2003-05,24,FALSE
5/31/2003,3774000,2003-05,31,TRUE
6/7/2003,3682000,2003-06,7,FALSE
6/14/2003,3695000,2003-06,14,FALSE
6/21/2003,3692000,2003-06,21,FALSE
6/28/2003,3737000,2003-06,28,TRUE
7/5/2003,3627000,2003-07,5,FALSE
7/12/2003,3599000,2003-07,12,FALSE
7/19/2003,3592000,2003-07,19,FALSE
7/26/2003,3647000,2003-07,26,TRUE
8/2/2003,3601000,2003-08,2,FALSE
8/9/2003,3596000,2003-08,9,FALSE
8/16/2003,3603000,2003-08,16,FALSE
8/23/2003,3574000,2003-08,23,FALSE
8/30/2003,3608000,2003-08,30,TRUE
9/6/2003,3598000,2003-09,6,FALSE
9/13/2003,3559000,2003-09,13,FALSE
9/20/2003,3588000,2003-09,20,FALSE
9/27/2003,3558000,2003-09,27,TRUE
10/4/2003,3570000,2003-10,4,FALSE
10/11/2003,3468000,2003-10,11,FALSE
10/18/2003,3466000,2003-10,18,FALSE
10/25/2003,3441000,2003-10,25,TRUE
11/1/2003,3427000,2003-11,1,FALSE
11/8/2003,3441000,2003-11,8,FALSE
11/15/2003,3331000,2003-11,15,FALSE
11/22/2003,3337000,2003-11,22,FALSE
11/29/2003,3331000,2003-11,29,TRUE
12/6/2003,3318000,2003-12,6,FALSE
12/13/2003,3251000,2003-12,13,FALSE
12/20/2003,3254000,2003-12,20,FALSE
12/27/2003,3258000,2003-12,27,TRUE
