DATE,DGS10,checknum,ym,d,check
1/3/2000,6.58,TRUE,2000-01,3,FALSE
1/4/2000,6.49,TRUE,2000-01,4,FALSE
1/5/2000,6.62,TRUE,2000-01,5,FALSE
1/6/2000,6.57,TRUE,2000-01,6,FALSE
1/7/2000,6.52,TRUE,2000-01,7,FALSE
1/10/2000,6.57,TRUE,2000-01,10,FALSE
1/11/2000,6.67,TRUE,2000-01,11,FALSE
1/12/2000,6.72,TRUE,2000-01,12,FALSE
1/13/2000,6.63,TRUE,2000-01,13,FALSE
1/14/2000,6.69,TRUE,2000-01,14,FALSE
1/17/2000,.,FALSE,2000-01,17,FALSE
1/18/2000,6.75,TRUE,2000-01,18,FALSE
1/19/2000,6.73,TRUE,2000-01,19,FALSE
1/20/2000,6.79,TRUE,2000-01,20,FALSE
1/21/2000,6.79,TRUE,2000-01,21,FALSE
1/24/2000,6.69,TRUE,2000-01,24,FALSE
1/25/2000,6.7,TRUE,2000-01,25,FALSE
1/26/2000,6.69,TRUE,2000-01,26,FALSE
1/27/2000,6.68,TRUE,2000-01,27,FALSE
1/28/2000,6.66,TRUE,2000-01,28,FALSE
1/31/2000,6.68,TRUE,2000-01,31,TRUE
2/1/2000,6.62,TRUE,2000-02,1,FALSE
2/2/2000,6.6,TRUE,2000-02,2,FALSE
2/3/2000,6.49,TRUE,2000-02,3,FALSE
2/4/2000,6.53,TRUE,2000-02,4,FALSE
2/7/2000,6.64,TRUE,2000-02,7,FALSE
2/8/2000,6.59,TRUE,2000-02,8,FALSE
2/9/2000,6.56,TRUE,2000-02,9,FALSE
2/10/2000,6.67,TRUE,2000-02,10,FALSE
2/11/2000,6.63,TRUE,2000-02,11,FALSE
2/14/2000,6.56,TRUE,2000-02,14,FALSE
2/15/2000,6.56,TRUE,2000-02,15,FALSE
2/16/2000,6.56,TRUE,2000-02,16,FALSE
2/17/2000,6.58,TRUE,2000-02,17,FALSE
2/18/2000,6.49,TRUE,2000-02,18,FALSE
2/21/2000,.,FALSE,2000-02,21,FALSE
2/22/2000,6.36,TRUE,2000-02,22,FALSE
2/23/2000,6.44,TRUE,2000-02,23,FALSE
2/24/2000,6.36,TRUE,2000-02,24,FALSE
2/25/2000,6.36,TRUE,2000-02,25,FALSE
2/28/2000,6.37,TRUE,2000-02,28,FALSE
2/29/2000,6.42,TRUE,2000-02,29,TRUE
3/1/2000,6.39,TRUE,2000-03,1,FALSE
3/2/2000,6.4,TRUE,2000-03,2,FALSE
3/3/2000,6.39,TRUE,2000-03,3,FALSE
3/6/2000,6.42,TRUE,2000-03,6,FALSE
3/7/2000,6.39,TRUE,2000-03,7,FALSE
3/8/2000,6.38,TRUE,2000-03,8,FALSE
3/9/2000,6.35,TRUE,2000-03,9,FALSE
3/10/2000,6.39,TRUE,2000-03,10,FALSE
3/13/2000,6.36,TRUE,2000-03,13,FALSE
3/14/2000,6.31,TRUE,2000-03,14,FALSE
3/15/2000,6.29,TRUE,2000-03,15,FALSE
3/16/2000,6.26,TRUE,2000-03,16,FALSE
3/17/2000,6.2,TRUE,2000-03,17,FALSE
3/20/2000,6.18,TRUE,2000-03,20,FALSE
3/21/2000,6.13,TRUE,2000-03,21,FALSE
3/22/2000,6.13,TRUE,2000-03,22,FALSE
3/23/2000,6.08,TRUE,2000-03,23,FALSE
3/24/2000,6.2,TRUE,2000-03,24,FALSE
3/27/2000,6.21,TRUE,2000-03,27,FALSE
3/28/2000,6.17,TRUE,2000-03,28,FALSE
3/29/2000,6.18,TRUE,2000-03,29,FALSE
3/30/2000,6.06,TRUE,2000-03,30,FALSE
3/31/2000,6.03,TRUE,2000-03,31,TRUE
4/3/2000,6,TRUE,2000-04,3,FALSE
4/4/2000,5.9,TRUE,2000-04,4,FALSE
4/5/2000,5.9,TRUE,2000-04,5,FALSE
4/6/2000,5.93,TRUE,2000-04,6,FALSE
4/7/2000,5.86,TRUE,2000-04,7,FALSE
4/10/2000,5.8,TRUE,2000-04,10,FALSE
4/11/2000,5.89,TRUE,2000-04,11,FALSE
4/12/2000,5.97,TRUE,2000-04,12,FALSE
4/13/2000,5.94,TRUE,2000-04,13,FALSE
4/14/2000,5.85,TRUE,2000-04,14,FALSE
4/17/2000,6.01,TRUE,2000-04,17,FALSE
4/18/2000,6.05,TRUE,2000-04,18,FALSE
4/19/2000,5.99,TRUE,2000-04,19,FALSE
4/20/2000,5.99,TRUE,2000-04,20,FALSE
4/21/2000,.,FALSE,2000-04,21,FALSE
4/24/2000,6,TRUE,2000-04,24,FALSE
4/25/2000,6.14,TRUE,2000-04,25,FALSE
4/26/2000,6.14,TRUE,2000-04,26,FALSE
4/27/2000,6.23,TRUE,2000-04,27,FALSE
4/28/2000,6.23,TRUE,2000-04,28,TRUE
5/1/2000,6.29,TRUE,2000-05,1,FALSE
5/2/2000,6.32,TRUE,2000-05,2,FALSE
5/3/2000,6.4,TRUE,2000-05,3,FALSE
5/4/2000,6.46,TRUE,2000-05,4,FALSE
5/5/2000,6.51,TRUE,2000-05,5,FALSE
5/8/2000,6.57,TRUE,2000-05,8,FALSE
5/9/2000,6.53,TRUE,2000-05,9,FALSE
5/10/2000,6.47,TRUE,2000-05,10,FALSE
5/11/2000,6.43,TRUE,2000-05,11,FALSE
5/12/2000,6.51,TRUE,2000-05,12,FALSE
5/15/2000,6.47,TRUE,2000-05,15,FALSE
5/16/2000,6.43,TRUE,2000-05,16,FALSE
5/17/2000,6.48,TRUE,2000-05,17,FALSE
5/18/2000,6.56,TRUE,2000-05,18,FALSE
5/19/2000,6.51,TRUE,2000-05,19,FALSE
5/22/2000,6.44,TRUE,2000-05,22,FALSE
5/23/2000,6.45,TRUE,2000-05,23,FALSE
5/24/2000,6.47,TRUE,2000-05,24,FALSE
5/25/2000,6.39,TRUE,2000-05,25,FALSE
5/26/2000,6.33,TRUE,2000-05,26,FALSE
5/29/2000,.,FALSE,2000-05,29,FALSE
5/30/2000,6.38,TRUE,2000-05,30,FALSE
5/31/2000,6.29,TRUE,2000-05,31,TRUE
6/1/2000,6.2,TRUE,2000-06,1,FALSE
6/2/2000,6.15,TRUE,2000-06,2,FALSE
6/5/2000,6.12,TRUE,2000-06,5,FALSE
6/6/2000,6.14,TRUE,2000-06,6,FALSE
6/7/2000,6.13,TRUE,2000-06,7,FALSE
6/8/2000,6.13,TRUE,2000-06,8,FALSE
6/9/2000,6.13,TRUE,2000-06,9,FALSE
6/12/2000,6.09,TRUE,2000-06,12,FALSE
6/13/2000,6.11,TRUE,2000-06,13,FALSE
6/14/2000,6.06,TRUE,2000-06,14,FALSE
6/15/2000,6.05,TRUE,2000-06,15,FALSE
6/16/2000,5.99,TRUE,2000-06,16,FALSE
6/19/2000,6,TRUE,2000-06,19,FALSE
6/20/2000,6.03,TRUE,2000-06,20,FALSE
6/21/2000,6.11,TRUE,2000-06,21,FALSE
6/22/2000,6.12,TRUE,2000-06,22,FALSE
6/23/2000,6.19,TRUE,2000-06,23,FALSE
6/26/2000,6.11,TRUE,2000-06,26,FALSE
6/27/2000,6.1,TRUE,2000-06,27,FALSE
6/28/2000,6.11,TRUE,2000-06,28,FALSE
6/29/2000,6.04,TRUE,2000-06,29,FALSE
6/30/2000,6.03,TRUE,2000-06,30,TRUE
7/3/2000,6,TRUE,2000-07,3,FALSE
7/4/2000,.,FALSE,2000-07,4,FALSE
7/5/2000,5.99,TRUE,2000-07,5,FALSE
7/6/2000,6.05,TRUE,2000-07,6,FALSE
7/7/2000,6.01,TRUE,2000-07,7,FALSE
7/10/2000,6.04,TRUE,2000-07,10,FALSE
7/11/2000,6.06,TRUE,2000-07,11,FALSE
7/12/2000,6.09,TRUE,2000-07,12,FALSE
7/13/2000,6.01,TRUE,2000-07,13,FALSE
7/14/2000,6.1,TRUE,2000-07,14,FALSE
7/17/2000,6.17,TRUE,2000-07,17,FALSE
7/18/2000,6.16,TRUE,2000-07,18,FALSE
7/19/2000,6.16,TRUE,2000-07,19,FALSE
7/20/2000,6.01,TRUE,2000-07,20,FALSE
7/21/2000,6.01,TRUE,2000-07,21,FALSE
7/24/2000,6.04,TRUE,2000-07,24,FALSE
7/25/2000,6.04,TRUE,2000-07,25,FALSE
7/26/2000,6.04,TRUE,2000-07,26,FALSE
7/27/2000,6.02,TRUE,2000-07,27,FALSE
7/28/2000,6.04,TRUE,2000-07,28,FALSE
7/31/2000,6.04,TRUE,2000-07,31,TRUE
8/1/2000,6,TRUE,2000-08,1,FALSE
8/2/2000,5.98,TRUE,2000-08,2,FALSE
8/3/2000,5.95,TRUE,2000-08,3,FALSE
8/4/2000,5.91,TRUE,2000-08,4,FALSE
8/7/2000,5.97,TRUE,2000-08,7,FALSE
8/8/2000,5.93,TRUE,2000-08,8,FALSE
8/9/2000,5.81,TRUE,2000-08,9,FALSE
8/10/2000,5.76,TRUE,2000-08,10,FALSE
8/11/2000,5.79,TRUE,2000-08,11,FALSE
