DATE,A229RX0
2000-01-01,33112.0
2000-02-01,33212.0
2000-03-01,33270.0
2000-04-01,33396.0
2000-05-01,33498.0
2000-06-01,33551.0
2000-07-01,33687.0
2000-08-01,33839.0
2000-09-01,33811.0
2000-10-01,33828.0
2000-11-01,33786.0
2000-12-01,33816.0
2001-01-01,33990.0
2001-02-01,34024.0
2001-03-01,34100.0
2001-04-01,33980.0
2001-05-01,33873.0
2001-06-01,33845.0
2001-07-01,34314.0
2001-08-01,34872.0
2001-09-01,34586.0
2001-10-01,34019.0
2001-11-01,34068.0
2001-12-01,34113.0
2002-01-01,34764.0
2002-02-01,34769.0
2002-03-01,34743.0
2002-04-01,34841.0
2002-05-01,34930.0
2002-06-01,34978.0
2002-07-01,34837.0
2002-08-01,34786.0
2002-09-01,34770.0
2002-10-01,34837.0
2002-11-01,34914.0
2002-12-01,35006.0
2003-01-01,34983.0
2003-02-01,34869.0
2003-03-01,34933.0
2003-04-01,35090.0
2003-05-01,35331.0
2003-06-01,35406.0
2003-07-01,35802.0
2003-08-01,36006.0
2003-09-01,35542.0
2003-10-01,35650.0
2003-11-01,35849.0
2003-12-01,35875.0
2004-01-01,35819.0
2004-02-01,35859.0
2004-03-01,35981.0
2004-04-01,36105.0
2004-05-01,36274.0
2004-06-01,36276.0
2004-07-01,36320.0
2004-08-01,36394.0
2004-09-01,36381.0
2004-10-01,36374.0
2004-11-01,36252.0
2004-12-01,37570.0
2005-01-01,36196.0
2005-02-01,36188.0
2005-03-01,36293.0
2005-04-01,36382.0
2005-05-01,36521.0
2005-06-01,36571.0
2005-07-01,36549.0
2005-08-01,36563.0
2005-09-01,36406.0
2005-10-01,36642.0
2005-11-01,36918.0
2005-12-01,37084.0
2006-01-01,37432.0
2006-02-01,37537.0
2006-03-01,37579.0
2006-04-01,37533.0
2006-05-01,37488.0
2006-06-01,37548.0
2006-07-01,37485.0
2006-08-01,37440.0
2006-09-01,37644.0
2006-10-01,37804.0
2006-11-01,37921.0
2006-12-01,38038.0
2007-01-01,38046.0
2007-02-01,38164.0
2007-03-01,38268.0
2007-04-01,38237.0
2007-05-01,38184.0
2007-06-01,38093.0
2007-07-01,38093.0
2007-08-01,38086.0
2007-09-01,38143.0
2007-10-01,38050.0
2007-11-01,37975.0
2007-12-01,38084.0
2008-01-01,38095.0
2008-02-01,38061.0
2008-03-01,38019.0
2008-04-01,37839.0
2008-05-01,39623.0
2008-06-01,38544.0
2008-07-01,37906.0
2008-08-01,37658.0
2008-09-01,37731.0
2008-10-01,37906.0
2008-11-01,38165.0
2008-12-01,37948.0
2009-01-01,38056.0
2009-02-01,37639.0
2009-03-01,37603.0
2009-04-01,37915.0
2009-05-01,38515.0
2009-06-01,37851.0
2009-07-01,37647.0
2009-08-01,37521.0
2009-09-01,37560.0
2009-10-01,37369.0
2009-11-01,37445.0
2009-12-01,37625.0
2010-01-01,37603.0
2010-02-01,37572.0
2010-03-01,37671.0
2010-04-01,37962.0
2010-05-01,38246.0
2010-06-01,38290.0
2010-07-01,38328.0
2010-08-01,38413.0
2010-09-01,38348.0
2010-10-01,38378.0
2010-11-01,38439.0
2010-12-01,38688.0
2011-01-01,38827.0
2011-02-01,38903.0
2011-03-01,38765.0
2011-04-01,38672.0
2011-05-01,38611.0
2011-06-01,38768.0
2011-07-01,38855.0
2011-08-01,38786.0
2011-09-01,38689.0
2011-10-01,38734.0
2011-11-01,38704.0
2011-12-01,39032.0
2012-01-01,39302.0
2012-02-01,39520.0
2012-03-01,39639.0
2012-04-01,39771.0
2012-05-01,39782.0
2012-06-01,39794.0
2012-07-01,39487.0
2012-08-01,39309.0
2012-09-01,39472.0
2012-10-01,39745.0
2012-11-01,40282.0
2012-12-01,41286.0
2013-01-01,38891.0
2013-02-01,38679.0
2013-03-01,38720.0
2013-04-01,38853.0
2013-05-01,39054.0
2013-06-01,39071.0
2013-07-01,39004.0
