DATE,INTDSRCNM193N
3/1/2000,3.24
4/1/2000,3.24
5/1/2000,3.24
6/1/2000,3.24
7/1/2000,3.24
8/1/2000,3.24
9/1/2000,3.24
10/1/2000,3.24
11/1/2000,3.24
12/1/2000,3.24
1/1/2001,3.24
2/1/2001,3.24
3/1/2001,3.24
4/1/2001,3.24
5/1/2001,3.24
6/1/2001,3.24
7/1/2001,3.24
8/1/2001,3.24
9/1/2001,3.24
10/1/2001,3.24
11/1/2001,3.24
12/1/2001,3.24
1/1/2002,3.24
2/1/2002,2.7
3/1/2002,2.7
4/1/2002,2.7
5/1/2002,2.7
6/1/2002,2.7
7/1/2002,2.7
8/1/2002,2.7
9/1/2002,2.7
10/1/2002,2.7
11/1/2002,2.7
12/1/2002,2.7
1/1/2003,2.7
2/1/2003,2.7
3/1/2003,2.7
4/1/2003,2.7
5/1/2003,2.7
6/1/2003,2.7
7/1/2003,2.7
8/1/2003,2.7
9/1/2003,2.7
10/1/2003,2.7
11/1/2003,2.7
12/1/2003,2.7
1/1/2004,2.7
2/1/2004,2.7
3/1/2004,2.7
4/1/2004,2.7
5/1/2004,2.7
6/1/2004,2.7
7/1/2004,2.7
8/1/2004,2.7
9/1/2004,2.7
10/1/2004,3.33
11/1/2004,3.33
12/1/2004,3.33
1/1/2005,3.33
2/1/2005,3.33
3/1/2005,3.33
4/1/2005,3.33
5/1/2005,3.33
6/1/2005,3.33
7/1/2005,3.33
8/1/2005,3.33
9/1/2005,3.33
10/1/2005,3.33
11/1/2005,3.33
12/1/2005,3.33
1/1/2006,3.33
2/1/2006,3.33
3/1/2006,3.33
4/1/2006,3.33
5/1/2006,3.33
6/1/2006,3.33
7/1/2006,3.33
8/1/2006,3.33
9/1/2006,3.33
10/1/2006,3.33
11/1/2006,3.33
12/1/2006,3.33
1/1/2007,3.33
2/1/2007,3.33
3/1/2007,3.33
4/1/2007,3.33
5/1/2007,3.33
6/1/2007,3.33
7/1/2007,3.33
8/1/2007,3.33
9/1/2007,3.33
10/1/2007,3.33
11/1/2007,3.33
12/1/2007,3.33
1/1/2008,4.14
2/1/2008,4.14
3/1/2008,4.14
4/1/2008,4.14
5/1/2008,4.14
6/1/2008,4.14
7/1/2008,4.14
8/1/2008,4.14
9/1/2008,4.14
10/1/2008,4.14
11/1/2008,3.06
12/1/2008,2.79
1/1/2009,2.79
2/1/2009,2.79
3/1/2009,2.79
4/1/2009,2.79
5/1/2009,2.79
6/1/2009,2.79
7/1/2009,2.79
8/1/2009,2.79
9/1/2009,2.79
10/1/2009,2.79
11/1/2009,2.79
12/1/2009,2.79
1/1/2010,2.79
2/1/2010,2.79
3/1/2010,2.79
4/1/2010,2.79
5/1/2010,2.79
6/1/2010,2.79
7/1/2010,2.79
8/1/2010,2.79
9/1/2010,2.79
10/1/2010,2.79
11/1/2010,2.79
12/1/2010,3.25
1/1/2011,3.25
2/1/2011,3.25
3/1/2011,3.25
4/1/2011,3.25
5/1/2011,3.25
6/1/2011,3.25
7/1/2011,3.25
8/1/2011,3.25
9/1/2011,3.25
10/1/2011,3.25
11/1/2011,3.25
12/1/2011,3.25
1/1/2012,3.25
2/1/2012,3.25
3/1/2012,3.25
4/1/2012,3.25
5/1/2012,3.25
6/1/2012,3.25
7/1/2012,3.25
8/1/2012,3.25
9/1/2012,3.25
10/1/2012,3.25
11/1/2012,3.25
12/1/2012,3.25
1/1/2013,3.25
2/1/2013,3.25
3/1/2013,3.25
4/1/2013,3.25
5/1/2013,3.25
6/1/2013,3.25
7/1/2013,3.25
8/1/2013,3.25
9/1/2013,3.25
10/1/2013,3.25
11/1/2013,3.25
12/1/2013,3.25
1/1/2014,3.25
2/1/2014,3.25
3/1/2014,3.25
4/1/2014,3.25
5/1/2014,3.25
6/1/2014,3.25
7/1/2014,3.25
8/1/2014,3.25
9/1/2014,3.25
10/1/2014,3.25
11/1/2014,3.25
12/1/2014,3.25
1/1/2015,3.25
2/1/2015,3.25
3/1/2015,3.25
4/1/2015,3.25
5/1/2015,3.25
6/1/2015,3.25
7/1/2015,3.25
8/1/2015,3.25
9/1/2015,3.25
10/1/2015,3.25
11/1/2015,2.9
12/1/2015,2.9
1/1/2016,2.9
2/1/2016,2.9
3/1/2016,2.9
4/1/2016,2.9
5/1/2016,2.9
6/1/2016,2.9
7/1/2016,2.9
8/1/2016,2.9
9/1/2016,2.9
10/1/2016,2.9
11/1/2016,2.9
12/1/2016,2.9
1/1/2017,2.9
2/1/2017,2.9
3/1/2017,2.9
4/1/2017,2.9
5/1/2017,2.9
6/1/2017,2.9
7/1/2017,2.9
8/1/2017,2.9
9/1/2017,2.9
10/1/2017,2.9
11/1/2017,2.9
12/1/2017,2.9
1/1/2018,2.9
2/1/2018,2.9
3/1/2018,2.9
4/1/2018,2.9
5/1/2018,2.9
6/1/2018,2.9
7/1/2018,2.9
8/1/2018,2.9
9/1/2018,2.9
10/1/2018,2.9
11/1/2018,2.9
12/1/2018,2.9
1/1/2019,2.9
2/1/2019,2.9
3/1/2019,2.9
4/1/2019,2.9
5/1/2019,2.9
6/1/2019,2.9
7/1/2019,2.9
8/1/2019,2.9
9/1/2019,2.9
10/1/2019,2.9
11/1/2019,2.9
12/1/2019,2.9
1/1/2020,2.9
2/1/2020,2.9
3/1/2020,2.9
4/1/2020,2.9
5/1/2020,2.9
6/1/2020,2.9
7/1/2020,2.9
8/1/2020,2.9
9/1/2020,2.9
10/1/2020,2.9
11/1/2020,2.9
12/1/2020,2.9
1/1/2021,2.9
2/1/2021,2.9
3/1/2021,2.9
