DATE,PMSAVE
2000-01-01,385.1
2000-02-01,349.0
2000-03-01,330.0
2000-04-01,367.2
2000-05-01,361.2
2000-06-01,362.7
2000-07-01,389.8
2000-08-01,390.0
2000-09-01,336.1
2000-10-01,346.0
2000-11-01,337.8
2000-12-01,317.8
2001-01-01,367.9
2001-02-01,373.8
2001-03-01,405.3
2001-04-01,383.6
2001-05-01,340.5
2001-06-01,341.3
2001-07-01,439.6
2001-08-01,537.7
2001-09-01,551.0
2001-10-01,263.6
2001-11-01,319.0
2001-12-01,349.1
2002-01-01,486.5
2002-02-01,464.4
2002-03-01,469.9
2002-04-01,466.2
2002-05-01,524.1
2002-06-01,518.1
2002-07-01,447.7
2002-08-01,437.7
2002-09-01,466.7
2002-10-01,462.5
2002-11-01,466.8
2002-12-01,449.7
2003-01-01,454.2
2003-02-01,460.8
2003-03-01,437.5
2003-04-01,440.7
2003-05-01,485.3
2003-06-01,466.6
2003-07-01,534.6
2003-08-01,520.6
2003-09-01,439.8
2003-10-01,455.7
2003-11-01,465.5
2003-12-01,465.3
2004-01-01,434.5
2004-02-01,437.8
2004-03-01,433.3
2004-04-01,468.9
2004-05-01,468.9
2004-06-01,516.1
2004-07-01,469.4
2004-08-01,464.2
2004-09-01,416.1
2004-10-01,405.4
2004-11-01,367.1
2004-12-01,645.2
2005-01-01,327.0
2005-02-01,294.5
2005-03-01,312.2
2005-04-01,280.1
2005-05-01,325.0
2005-06-01,265.7
2005-07-01,202.2
2005-08-01,247.3
2005-09-01,250.0
2005-10-01,289.7
2005-11-01,334.9
2005-12-01,351.9
2006-01-01,408.9
2006-02-01,414.6
2006-03-01,415.7
2006-04-01,391.0
2006-05-01,371.3
2006-06-01,393.5
2006-07-01,334.8
2006-08-01,358.4
2006-09-01,356.6
2006-10-01,359.4
2006-11-01,392.7
2006-12-01,375.6
2007-01-01,370.9
2007-02-01,414.6
2007-03-01,453.1
2007-04-01,431.0
2007-05-01,408.7
2007-06-01,391.9
2007-07-01,379.5
2007-08-01,351.3
2007-09-01,370.1
2007-10-01,353.9
2007-11-01,326.5
2007-12-01,379.6
2008-01-01,398.0
2008-02-01,440.1
2008-03-01,429.1
2008-04-01,371.4
2008-05-01,882.9
2008-06-01,607.3
2008-07-01,482.7
2008-08-01,420.5
2008-09-01,513.4
2008-10-01,601.6
2008-11-01,704.5
2008-12-01,688.0
2009-01-01,670.2
2009-02-01,595.6
2009-03-01,629.5
2009-04-01,737.5
2009-05-01,908.2
2009-06-01,734.2
2009-07-01,650.6
2009-08-01,533.2
2009-09-01,644.8
2009-10-01,591.2
2009-11-01,643.2
2009-12-01,656.0
2010-01-01,674.0
2010-02-01,641.4
2010-03-01,634.0
2010-04-01,712.3
2010-05-01,787.6
2010-06-01,779.1
2010-07-01,775.3
2010-08-01,782.4
2010-09-01,764.0
2010-10-01,756.8
2010-11-01,753.6
2010-12-01,823.5
2011-01-01,869.1
2011-02-01,898.3
2011-03-01,828.3
2011-04-01,815.9
2011-05-01,816.5
2011-06-01,848.7
2011-07-01,864.3
2011-08-01,854.7
2011-09-01,808.6
2011-10-01,813.7
2011-11-01,831.7
2011-12-01,939.4
2012-01-01,983.1
2012-02-01,991.0
2012-03-01,1051.0
2012-04-01,1088.5
2012-05-01,1098.5
2012-06-01,1130.3
2012-07-01,1017.5
2012-08-01,981.6
2012-09-01,1019.3
2012-10-01,1108.3
2012-11-01,1243.1
2012-12-01,1567.1
2013-01-01,774.2
2013-02-01,719.1
2013-03-01,730.7
2013-04-01,790.8
2013-05-01,833.4
2013-06-01,854.2
2013-07-01,827.4
2013-08-01,838.5
2013-09-01,852.4
2013-10-01,786.0
2013-11-01,777.6
2013-12-01,812.2
2014-01-01,904.1
2014-02-01,914.5
2014-03-01,937.3
2014-04-01,945.6
2014-05-01,972.6
2014-06-01,986.3
2014-07-01,996.9
2014-08-01,972.2
2014-09-01,1000.7
2014-10-01,979.5
2014-11-01,999.0
2014-12-01,1042.7
2015-01-01,1093.5
2015-02-01,1116.1
2015-03-01,1050.3
2015-04-01,1039.6
2015-05-01,1023.4
2015-06-01,1016.4
2015-07-01,1007.7
2015-08-01,1010.7
2015-09-01,1031.3
2015-10-01,1043.4
2015-11-01,1007.9
2015-12-01,1024.0
2016-01-01,1067.6
2016-02-01,1004.9
2016-03-01,1052.0
2016-04-01,1001.5
2016-05-01,966.8
2016-06-01,916.5
2016-07-01,947.8
2016-08-01,940.8
2016-09-01,945.1
2016-10-01,971.3
2016-11-01,968.3
2016-12-01,917.9
2017-01-01,975.2
2017-02-01,1024.2
2017-03-01,1023.3
2017-04-01,1049.2
2017-05-01,1135.8
2017-06-01,1099.1
2017-07-01,1119.8
2017-08-01,1133.7
2017-09-01,1098.3
2017-10-01,1118.0
2017-11-01,1065.4
2017-12-01,1009.6
2018-01-01,1153.9
2018-02-01,1204.1
2018-03-01,1208.5
2018-04-01,1209.6
2018-05-01,1206.2
2018-06-01,1238.2
2018-07-01,1247.3
2018-08-01,1244.8
2018-09-01,1251.6
2018-10-01,1218.3
2018-11-01,1189.6
2018-12-01,1475.7
2019-01-01,1370.5
2019-02-01,1400.7
2019-03-01,1292.3
2019-04-01,1226.0
2019-05-01,1180.4
2019-06-01,1152.0
2019-07-01,1141.6
2019-08-01,1194.5
2019-09-01,1205.5
2019-10-01,1181.6
2019-11-01,1236.0
2019-12-01,1193.7
2020-01-01,1266.3
2020-02-01,1388.9
2020-03-01,2130.7
2020-04-01,6413.7
2020-05-01,4489.1
2020-06-01,3409.7
2020-07-01,3305.7
2020-08-01,2551.9
2020-09-01,2466.7
2020-10-01,2361.1
2020-11-01,2264.7
2020-12-01,2476.0
2021-01-01,3989.1
2021-02-01,2622.3
2021-03-01,6114.2
2021-04-01,2814.2
