DATE,STDSL
2000-01-01,963.2
2000-02-01,971.9
2000-03-01,980.1
2000-04-01,988.9
2000-05-01,993.5
2000-06-01,1004.1
2000-07-01,1014.2
2000-08-01,1023.2
2000-09-01,1029.3
2000-10-01,1034.7
2000-11-01,1039.9
2000-12-01,1045.8
2001-01-01,1051.6
2001-02-01,1052.1
2001-03-01,1048.6
2001-04-01,1043.8
2001-05-01,1038.9
2001-06-01,1030.6
2001-07-01,1022.4
2001-08-01,1015.7
2001-09-01,1009.8
2001-10-01,1000.8
2001-11-01,988.0
2001-12-01,974.3
2002-01-01,960.5
2002-02-01,949.6
2002-03-01,940.3
2002-04-01,932.4
2002-05-01,927.5
2002-06-01,924.0
2002-07-01,920.3
2002-08-01,915.4
2002-09-01,907.7
2002-10-01,902.4
2002-11-01,899.0
2002-12-01,894.4
2003-01-01,888.1
2003-02-01,881.8
2003-03-01,877.0
2003-04-01,871.9
2003-05-01,865.1
2003-06-01,857.9
2003-07-01,847.0
2003-08-01,836.3
2003-09-01,829.0
2003-10-01,823.7
2003-11-01,819.7
2003-12-01,817.8
2004-01-01,815.0
2004-02-01,812.7
2004-03-01,810.5
2004-04-01,807.8
2004-05-01,804.7
2004-06-01,804.1
2004-07-01,804.9
2004-08-01,807.2
2004-09-01,809.8
2004-10-01,814.6
2004-11-01,820.3
2004-12-01,828.0
2005-01-01,839.7
2005-02-01,852.8
2005-03-01,867.3
2005-04-01,883.7
2005-05-01,902.3
2005-06-01,918.6
2005-07-01,933.2
2005-08-01,947.9
2005-09-01,959.3
2005-10-01,967.8
2005-11-01,979.8
2005-12-01,993.2
2006-01-01,1006.9
2006-02-01,1024.5
2006-03-01,1043.3
2006-04-01,1062.9
2006-05-01,1083.9
2006-06-01,1104.2
2006-07-01,1128.5
2006-08-01,1152.0
2006-09-01,1169.9
2006-10-01,1185.9
2006-11-01,1196.4
2006-12-01,1205.5
2007-01-01,1212.9
2007-02-01,1222.8
2007-03-01,1232.0
2007-04-01,1242.2
2007-05-01,1247.5
2007-06-01,1248.4
2007-07-01,1251.1
2007-08-01,1255.9
2007-09-01,1265.7
2007-10-01,1270.5
2007-11-01,1272.3
2007-12-01,1275.4
2008-01-01,1282.3
2008-02-01,1286.2
2008-03-01,1279.1
2008-04-01,1278.1
2008-05-01,1277.1
2008-06-01,1273.9
2008-07-01,1285.0
2008-08-01,1312.8
2008-09-01,1337.4
2008-10-01,1398.9
2008-11-01,1433.5
2008-12-01,1457.0
2009-01-01,1448.4
2009-02-01,1435.9
2009-03-01,1423.5
2009-04-01,1403.1
2009-05-01,1386.4
2009-06-01,1362.8
2009-07-01,1334.8
2009-08-01,1306.2
2009-09-01,1273.6
2009-10-01,1239.1
2009-11-01,1213.6
2009-12-01,1186.9
2010-01-01,1158.0
2010-02-01,1137.2
2010-03-01,1116.6
2010-04-01,1096.9
2010-05-01,1077.0
2010-06-01,1058.8
2010-07-01,1041.8
2010-08-01,1025.2
2010-09-01,1003.0
2010-10-01,979.2
2010-11-01,955.8
2010-12-01,933.7
2011-01-01,915.6
2011-02-01,900.8
2011-03-01,885.2
2011-04-01,871.3
2011-05-01,858.2
2011-06-01,846.0
2011-07-01,832.3
2011-08-01,818.9
2011-09-01,806.2
2011-10-01,794.6
2011-11-01,785.5
2011-12-01,777.9
2012-01-01,765.6
2012-02-01,753.7
2012-03-01,738.8
2012-04-01,726.6
2012-05-01,716.1
2012-06-01,708.6
2012-07-01,698.1
2012-08-01,690.5
2012-09-01,681.5
2012-10-01,669.9
2012-11-01,658.0
2012-12-01,645.9
2013-01-01,636.1
2013-02-01,626.9
2013-03-01,623.2
2013-04-01,616.0
2013-05-01,606.3
2013-06-01,593.9
2013-07-01,583.2
2013-08-01,580.2
2013-09-01,575.3
2013-10-01,572.4
2013-11-01,568.7
2013-12-01,569.7
2014-01-01,560.7
2014-02-01,556.5
2014-03-01,552.2
2014-04-01,547.9
2014-05-01,545.2
2014-06-01,542.4
2014-07-01,540.2
2014-08-01,538.6
2014-09-01,534.4
2014-10-01,532.1
2014-11-01,526.6
2014-12-01,522.7
2015-01-01,517.4
2015-02-01,512.7
2015-03-01,502.7
2015-04-01,492.9
2015-05-01,482.5
2015-06-01,472.4
2015-07-01,458.4
2015-08-01,445.1
2015-09-01,427.3
2015-10-01,421.9
2015-11-01,416.8
2015-12-01,412.1
2016-01-01,407.6
2016-02-01,402.3
2016-03-01,396.7
2016-04-01,391.2
2016-05-01,386.8
2016-06-01,382.2
2016-07-01,378.3
2016-08-01,372.5
2016-09-01,366.3
2016-10-01,362.4
2016-11-01,358.2
2016-12-01,353.4
2017-01-01,350.7
2017-02-01,351.2
2017-03-01,352.8
2017-04-01,356.3
2017-05-01,360.8
2017-06-01,366.1
2017-07-01,373.6
2017-08-01,382.9
2017-09-01,393.6
2017-10-01,402.7
2017-11-01,408.7
2017-12-01,414.6
2018-01-01,419.6
2018-02-01,424.5
2018-03-01,433.5
2018-04-01,442.8
2018-05-01,455.0
2018-06-01,466.0
2018-07-01,477.6
2018-08-01,489.7
2018-09-01,501.6
2018-10-01,510.6
