DATE,USEPUINDXM
2000-01-01,89.20154
2000-02-01,77.60139
2000-03-01,77.54831
2000-04-01,76.05923
2000-05-01,97.98621
2000-06-01,92.96502
2000-07-01,79.44698
2000-08-01,66.58134
2000-09-01,75.14165
2000-10-01,84.66173
2000-11-01,125.06754
2000-12-01,115.26872
2001-01-01,111.41604
2001-02-01,110.91785
2001-03-01,116.02695
2001-04-01,122.67341
2001-05-01,100.42902
2001-06-01,86.39027
2001-07-01,102.13185
2001-08-01,84.28912
2001-09-01,188.05949
2001-10-01,173.14337
2001-11-01,130.57564
2001-12-01,117.23659
2002-01-01,116.83746
2002-02-01,87.60069
2002-03-01,83.44043
2002-04-01,88.56610
2002-05-01,86.29886
2002-06-01,93.61022
2002-07-01,110.30517
2002-08-01,116.01482
2002-09-01,124.04314
2002-10-01,111.88597
2002-11-01,123.28438
2002-12-01,122.22167
2003-01-01,138.95340
2003-02-01,126.72774
2003-03-01,163.52380
2003-04-01,135.62755
2003-05-01,102.61982
2003-06-01,95.82730
2003-07-01,91.74151
2003-08-01,95.67181
2003-09-01,106.11576
2003-10-01,88.04379
2003-11-01,84.91824
2003-12-01,91.73699
2004-01-01,96.56646
2004-02-01,99.45730
2004-03-01,96.78947
2004-04-01,94.11528
2004-05-01,92.32118
2004-06-01,85.34598
2004-07-01,87.54419
2004-08-01,85.92587
2004-09-01,100.01189
2004-10-01,105.69511
2004-11-01,95.24085
2004-12-01,77.59644
2005-01-01,73.91848
2005-02-01,58.95005
2005-03-01,57.55796
2005-04-01,74.56597
2005-05-01,70.50812
2005-06-01,74.56133
2005-07-01,68.71645
2005-08-01,64.39586
2005-09-01,91.40606
2005-10-01,76.16368
2005-11-01,72.21599
2005-12-01,78.04893
2006-01-01,79.17535
2006-02-01,72.69299
2006-03-01,64.22933
2006-04-01,79.76153
2006-05-01,70.83626
2006-06-01,79.49433
2006-07-01,80.56231
2006-08-01,72.76997
2006-09-01,67.06754
2006-10-01,63.46447
2006-11-01,62.51984
2006-12-01,63.37041
2007-01-01,79.01967
2007-02-01,57.20262
2007-03-01,69.88729
2007-04-01,62.50170
2007-05-01,74.68187
2007-06-01,73.29654
2007-07-01,59.32398
2007-08-01,89.10405
2007-09-01,100.74438
2007-10-01,89.45453
2007-11-01,102.44111
2007-12-01,108.54380
2008-01-01,144.98473
2008-02-01,108.10469
2008-03-01,111.71236
2008-04-01,102.19691
2008-05-01,94.28403
2008-06-01,94.55676
2008-07-01,109.78897
2008-08-01,95.87076
2008-09-01,187.74031
2008-10-01,189.91728
2008-11-01,148.84258
2008-12-01,145.99467
2009-01-01,171.94623
2009-02-01,187.11403
2009-03-01,166.90338
2009-04-01,131.85612
2009-05-01,138.80585
2009-06-01,130.93349
2009-07-01,126.28215
2009-08-01,152.55009
2009-09-01,145.44437
2009-10-01,138.13055
2009-11-01,116.16232
2009-12-01,121.22102
2010-01-01,149.35928
2010-02-01,132.79865
2010-03-01,137.47002
2010-04-01,137.07739
2010-05-01,151.10342
2010-06-01,140.56915
2010-07-01,180.01445
2010-08-01,147.30910
2010-09-01,182.14670
2010-10-01,163.42491
2010-11-01,179.13557
2010-12-01,165.40785
2011-01-01,142.17046
2011-02-01,145.50890
2011-03-01,174.35437
2011-04-01,157.49590
2011-05-01,126.19207
2011-06-01,158.08862
2011-07-01,197.91635
2011-08-01,245.12672
2011-09-01,204.62979
2011-10-01,159.73958
2011-11-01,166.33902
2011-12-01,189.39836
2012-01-01,178.28653
2012-02-01,149.63708
2012-03-01,137.55312
2012-04-01,136.59669
2012-05-01,158.56197
2012-06-01,194.61058
2012-07-01,184.87970
2012-08-01,152.35345
2012-09-01,175.27705
2012-10-01,165.94449
2012-11-01,187.49065
2012-12-01,192.82516
2013-01-01,157.53331
2013-02-01,114.65411
2013-03-01,124.94081
